report_month,report_year,insurer_sno,insurer,category,premium_month_cr,premium_ytd_cr,premium_month_py_cr,premium_ytd_py_cr,premium_ytd_var_pct,policies_month,policies_ytd,policies_month_py,policies_ytd_py,policies_ytd_var_pct,source_file,date,is_aggregate_row
January,2021,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,4.56,58.06,0.38,4.11,1313.8,0.0,1.0,0.0,2.0,-50.0,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Single Premium,65.66,1845.66,67.33,1268.14,45.54,8.0,48.0,4.0,79.0,-39.24,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,3.46,60.48,11.12,64.39,-6.08,33.0,410.0,61.0,494.0,-17.0,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,172.48,1419.62,154.24,1334.0,6.42,20936.0,198627.0,21792.0,208878.0,-4.91,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,17.22,106.98,11.12,92.91,15.15,200.0,1587.0,270.0,2595.0,-38.84,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Total,263.38,3490.8,244.19,2763.55,26.32,21177.0,200673.0,22127.0,212048.0,-5.36,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.05,0.0,0.33,-85.73,0.0,5.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,35.13,86.29,14.81,114.13,-24.4,0.0,0.0,0.0,2.0,-100.0,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,28.9,182.9,23.99,221.53,-17.44,3705.0,25696.0,2928.0,36197.0,-29.01,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,17.35,189.04,12.79,107.35,76.1,383.0,4985.0,323.0,3661.0,36.16,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Total,81.38,458.28,51.59,443.35,3.37,4088.0,30686.0,3251.0,39860.0,-23.02,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.07,1.06,0.06,1.13,-6.48,0.0,0.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.99,0.29,2.25,-56.2,0.0,0.0,1.0,1.0,-100.0,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,2.99,46.1,3.83,83.48,-44.78,0.0,114.0,2.0,29.0,293.1,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,12.77,91.73,12.27,89.55,2.43,1622.0,14250.0,2214.0,15842.0,-10.05,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.0,9.58,0.82,7.32,30.86,0.0,298.0,90.0,475.0,-37.26,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Total,15.83,149.45,17.28,183.73,-18.66,1622.0,14662.0,2307.0,16347.0,-10.31,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,5.0,AXIS MAX LIFE INSURANCE LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,5.0,AXIS MAX LIFE INSURANCE LIMITED,Group Single Premium,59.18,314.76,40.79,259.85,21.13,3.0,17.0,1.0,99.0,-82.83,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,5.0,AXIS MAX LIFE INSURANCE LIMITED,Group Yearly Renewable Premium,2.39,72.77,12.4,93.83,-22.44,1.0,393.0,89.0,735.0,-46.53,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,5.0,AXIS MAX LIFE INSURANCE LIMITED,Individual Non Single Premium,468.9,3345.91,408.96,3025.32,10.6,56288.0,483041.0,55460.0,465660.0,3.73,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,5.0,AXIS MAX LIFE INSURANCE LIMITED,Individual Single Premium,107.81,1148.44,92.66,869.33,32.11,366.0,4338.0,172.0,1528.0,183.9,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,5.0,AXIS MAX LIFE INSURANCE LIMITED,Total,638.28,4881.89,554.81,4248.32,14.91,56658.0,487789.0,55722.0,468022.0,4.22,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,6.0,BAJAJ LIFE INSURANCE LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,-8.1,0.0,0.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,6.0,BAJAJ LIFE INSURANCE LIMITED,Group Single Premium,237.78,2419.99,259.17,2417.63,0.1,8.0,54.0,2.0,47.0,14.89,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,6.0,BAJAJ LIFE INSURANCE LIMITED,Group Yearly Renewable Premium,24.98,154.32,18.03,150.75,2.37,26.0,105.0,2.0,35.0,200.0,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,6.0,BAJAJ LIFE INSURANCE LIMITED,Individual Non Single Premium,241.03,1716.09,182.05,1497.86,14.57,36517.0,325064.0,32103.0,243941.0,33.26,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,6.0,BAJAJ LIFE INSURANCE LIMITED,Individual Single Premium,4.65,38.0,13.26,66.01,-42.43,101.0,746.0,29.0,395.0,88.86,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,6.0,BAJAJ LIFE INSURANCE LIMITED,Total,508.44,4328.4,472.51,4132.25,4.75,36652.0,325969.0,32136.0,244418.0,33.37,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Non Single Premium,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Single Premium,0.0,5.23,0.0,1.08,383.71,0.0,0.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Group Yearly Renewable Premium,8.06,18.45,2.06,13.48,36.9,25.0,75.0,12.0,93.0,-19.35,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Non Single Premium,1.52,31.57,6.22,58.21,-45.75,817.0,12692.0,1780.0,19022.0,-33.28,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Individual Single Premium,0.06,0.52,0.09,2.29,-77.26,5.0,22.0,2.0,15034.0,-99.85,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,7.0,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Total,9.65,55.78,8.36,75.06,-25.68,847.0,12789.0,1794.0,34149.0,-62.55,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
January,2021,8.0,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,raw_files/DetailedReportofNB__3_.xls,2021-01-01,False
