report_month,report_year,insurer_sno,insurer,category,premium_month_cr,premium_ytd_cr,premium_month_py_cr,premium_ytd_py_cr,premium_ytd_var_pct,policies_month,policies_ytd,policies_month_py,policies_ytd_py,policies_ytd_var_pct,source_file
January,2016,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,10.0,61.51,9.0,55.36,11.2,116.0,913.0,107.0,840.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,98.9,816.28,89.01,734.65,11.2,12005.0,114211.0,11045.0,105074.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Single Premium,38.24,1061.25,34.42,955.12,11.2,5.0,28.0,5.0,26.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,2.7,33.38,2.43,30.04,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,1.98,34.78,1.78,31.3,11.2,19.0,236.0,17.0,217.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,2.0,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Total,150.73,2007.21,135.66,1806.49,11.2,12120.0,115387.0,11150.0,106156.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,10.29,108.7,9.26,97.83,11.2,227.0,2866.0,209.0,2637.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,16.87,105.17,15.18,94.65,11.2,2163.0,14775.0,1990.0,13593.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Single Premium,20.01,49.62,18.01,44.66,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.0,0.03,0.0,0.03,11.2,1.0,3.0,1.0,3.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,3.0,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Total,46.36,263.51,41.72,237.16,11.2,2329.0,17644.0,2143.0,16232.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Single Premium,0.0,5.51,0.0,4.96,11.2,1.0,171.0,1.0,157.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Individual Non Single Premium,7.06,52.74,6.35,47.47,11.2,897.0,8194.0,825.0,7538.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Single Premium,0.0,0.57,0.0,0.51,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Non Single Premium,0.04,0.61,0.04,0.55,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Group Yearly Renewable Premium,1.68,26.51,1.51,23.86,11.2,1.0,66.0,1.0,61.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,4.0,AVIVA LIFE INSURANCE COMPANY LIMITED,Total,9.16,85.93,8.24,77.34,11.2,939.0,8431.0,864.0,7757.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,5.0,AXIS MAX LIFE INSURANCE LIMITED,Individual Single Premium,60.86,660.35,54.77,594.32,11.2,207.0,2494.0,190.0,2294.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,5.0,AXIS MAX LIFE INSURANCE LIMITED,Individual Non Single Premium,262.0,1923.9,235.8,1731.51,11.2,31451.0,277749.0,28935.0,255529.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,5.0,AXIS MAX LIFE INSURANCE LIMITED,Group Single Premium,35.03,180.99,31.53,162.89,11.2,2.0,10.0,2.0,9.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
January,2016,5.0,AXIS MAX LIFE INSURANCE LIMITED,Group Non Single Premium,0.0,0.0,0.0,0.0,11.2,1.0,1.0,1.0,1.0,8.5,raw_files/DetailedReportofNB_Archive_2016_January.xls
